competition_id,competition_code,name,sub_type,type,country_id,country_name,domestic_league_code,confederation,total_clubs,url
A1,bundesliga,bundesliga,first_tier,domestic_league,127,Austria,A1,europa,12,https://www.transfermarkt.co.uk/bundesliga/startseite/wettbewerb/A1
AFAC,afc-asian-cup,afc-asian-cup,afc_asian_cup,national_team_competition,-1,,,asien,,https://www.transfermarkt.co.uk/afc-asian-cup/startseite/pokalwettbewerb/AFAC
AFCN,africa-cup-of-nations,africa-cup-of-nations,africa_cup_of_nations,national_team_competition,-1,,,afrika,,https://www.transfermarkt.co.uk/africa-cup-of-nations/startseite/pokalwettbewerb/AFCN
ARG1,torneo-apertura,torneo-apertura,first_tier,domestic_league,9,Argentina,ARG1,amerika,30,https://www.transfermarkt.co.uk/torneo-apertura/startseite/wettbewerb/ARG1
AUS1,a-league-men,a-league-men,first_tier,domestic_league,12,Australia,AUS1,asien,12,https://www.transfermarkt.co.uk/a-league-men/startseite/wettbewerb/AUS1
BE1,jupiler-pro-league,jupiler-pro-league,first_tier,domestic_league,19,Belgium,BE1,europa,16,https://www.transfermarkt.co.uk/jupiler-pro-league/startseite/wettbewerb/BE1
BESC,volkswagen-supercup,volkswagen-supercup,domestic_super_cup,other,19,Belgium,BE1,europa,16,https://www.transfermarkt.co.uk/volkswagen-supercup/startseite/wettbewerb/BESC
BPO4,jupiler-pro-league-relegation-play-offs,jupiler-pro-league-relegation-play-offs,play_off,other,19,Belgium,BE1,europa,,https://www.transfermarkt.co.uk/jupiler-pro-league-relegation-play-offs/startseite/wettbewerb/BPO4
BRA1,campeonato-brasileiro-serie-a,campeonato-brasileiro-serie-a,first_tier,domestic_league,26,Brazil,BRA1,amerika,20,https://www.transfermarkt.co.uk/campeonato-brasileiro-serie-a/startseite/wettbewerb/BRA1
C1,super-league,super-league,first_tier,domestic_league,148,Switzerland,C1,europa,12,https://www.transfermarkt.co.uk/super-league/startseite/wettbewerb/C1
CDR,copa-del-rey,copa-del-rey,domestic_cup,domestic_cup,157,Spain,ES1,europa,20,https://www.transfermarkt.co.uk/copa-del-rey/startseite/wettbewerb/CDR
CIT,italy-cup,italy-cup,domestic_cup,domestic_cup,75,Italy,IT1,europa,20,https://www.transfermarkt.co.uk/italy-cup/startseite/wettbewerb/CIT
CL,uefa-champions-league,uefa-champions-league,uefa_champions_league,international_cup,-1,,,europa,,https://www.transfermarkt.co.uk/uefa-champions-league/startseite/pokalwettbewerb/CL
CLQ,uefa-champions-league-qualifying,uefa-champions-league-qualifying,uefa_champions_league_qualifying,international_cup,-1,,,europa,,https://www.transfermarkt.co.uk/uefa-champions-league-qualifying/startseite/pokalwettbewerb/CLQ
COPA,copa-america,copa-america,copa_america,national_team_competition,-1,,,amerika,,https://www.transfermarkt.co.uk/copa-america/startseite/pokalwettbewerb/COPA
DFB,dfb-pokal,dfb-pokal,domestic_cup,domestic_cup,40,Germany,L1,europa,18,https://www.transfermarkt.co.uk/dfb-pokal/startseite/wettbewerb/DFB
DFL,franz-beckenbauer-supercup,franz-beckenbauer-supercup,domestic_super_cup,other,40,Germany,L1,europa,18,https://www.transfermarkt.co.uk/franz-beckenbauer-supercup/startseite/wettbewerb/DFL
DK1,superliga,superliga,first_tier,domestic_league,39,Denmark,DK1,europa,12,https://www.transfermarkt.co.uk/superliga/startseite/wettbewerb/DK1
DKP,oddset-pokalen,oddset-pokalen,domestic_cup,domestic_cup,39,Denmark,DK1,europa,12,https://www.transfermarkt.co.uk/oddset-pokalen/startseite/wettbewerb/DKP
ECLQ,uefa-conference-league-qualifying,uefa-conference-league-qualifying,uefa_conference_league_qualifying,other,-1,,,europa,,https://www.transfermarkt.co.uk/uefa-conference-league-qualifying/startseite/pokalwettbewerb/ECLQ
EJPL,jupiler-pro-league-playoff-i,jupiler-pro-league-playoff-i,play_off,other,19,Belgium,BE1,europa,,https://www.transfermarkt.co.uk/jupiler-pro-league-playoff-i/startseite/wettbewerb/EJPL
EL,uefa-europa-league,uefa-europa-league,uefa_europa_league,other,-1,,,europa,,https://www.transfermarkt.co.uk/uefa-europa-league/startseite/pokalwettbewerb/EL
ELQ,uefa-europa-league-qualifying,uefa-europa-league-qualifying,uefa_europa_league_qualifying,other,-1,,,europa,,https://www.transfermarkt.co.uk/uefa-europa-league-qualifying/startseite/pokalwettbewerb/ELQ
ES1,laliga,laliga,first_tier,domestic_league,157,Spain,ES1,europa,20,https://www.transfermarkt.co.uk/laliga/startseite/wettbewerb/ES1
EURO,uefa-euro,uefa-euro,uefa_euro,national_team_competition,-1,,,europa,,https://www.transfermarkt.co.uk/uefa-euro/startseite/pokalwettbewerb/EURO
FAC,fa-cup,fa-cup,domestic_cup,domestic_cup,189,England,GB1,europa,20,https://www.transfermarkt.co.uk/fa-cup/startseite/wettbewerb/FAC
FIWC,world-cup,world-cup,world_cup,national_team_competition,-1,,,fifa,,https://www.transfermarkt.co.uk/world-cup/startseite/pokalwettbewerb/FIWC
FR1,ligue-1,ligue-1,first_tier,domestic_league,50,France,FR1,europa,18,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1
FRCH,trophee-des-champions,trophee-des-champions,domestic_super_cup,other,50,France,FR1,europa,18,https://www.transfermarkt.co.uk/trophee-des-champions/startseite/wettbewerb/FRCH
