national_team_id,name,team_code,country_id,country_name,country_code,confederation,team_image_url,squad_size,average_age,foreigners_number,foreigners_percentage,total_market_value,coach_name,fifa_ranking,last_season,url
10521,San Marino,san-marino,144,San Marino,SMR1,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/10521.png?lm=1706008075,26,23.8,18,69.2,1250000,,211,2025,https://www.transfermarkt.co.uk/san-marino/startseite/verein/10521
10533,Andorra,andorra,5,Andorra,AND1,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/10533.png?lm=1570832514,27,29.1,12,44.4,3910000,,172,2025,https://www.transfermarkt.co.uk/andorra/startseite/verein/10533
11953,Montenegro,montenegro,216,Montenegro,MNE1,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/11953.png?lm=1410170275,28,28.0,25,89.3,69430000,,80,2025,https://www.transfermarkt.co.uk/montenegro/startseite/verein/11953
13342,Guatemala,guatemala,58,Guatemala,GU1A,CONCACAF,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/13342.png?lm=1663321948,23,25.8,9,39.1,7780000,,97,2025,https://www.transfermarkt.co.uk/guatemala/startseite/verein/13342
13497,Uganda,uganda,176,Uganda,UGL1,CAF,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/13497.png?lm=1766537392,29,28.1,24,82.8,8750000,,89,2025,https://www.transfermarkt.co.uk/uganda/startseite/verein/13497
13941,Ethiopia,ethiopia,11,Ethiopia,ETP1,CAF,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/13941.png?lm=1403456874,23,27.6,2,8.7,2900000,,143,2025,https://www.transfermarkt.co.uk/ethiopia/startseite/verein/13941
13951,El Salvador,el-salvador,45,El Salvador,SL1A,CONCACAF,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/13951.png?lm=1777297636,23,26.6,0,,4760000,,100,2025,https://www.transfermarkt.co.uk/el-salvador/startseite/verein/13951
13955,Fiji,fiji,48,Fiji,FIJ1,OFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/13955.png?lm=1413566130,26,28.4,3,11.5,2430000,,155,2025,https://www.transfermarkt.co.uk/fiji/startseite/verein/13955
13957,India,india,67,India,IND1,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/13957.png?lm=1588859609,22,26.8,0,,4000000,,138,2025,https://www.transfermarkt.co.uk/india/startseite/verein/13957
13958,Indonesia,indonesia,68,Indonesia,IN1L,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/13958.png?lm=1782108940,23,25.7,13,56.5,19549999,,118,2025,https://www.transfermarkt.co.uk/indonesia/startseite/verein/13958
13975,Tajikistan,tajikistan,165,Tajikistan,TAD1,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/13975.png?lm=1687430391,24,26.0,10,41.7,8250000,,101,2025,https://www.transfermarkt.co.uk/tajikistan/startseite/verein/13975
14162,Qatar,qatar,137,Qatar,QSL,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/14162.png?lm=1706050566,26,29.5,1,3.8,19930000,,56,2025,https://www.transfermarkt.co.uk/qatar/startseite/verein/14162
14165,Oman,oman,126,Oman,OM1L,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/14165.png?lm=1420984092,28,28.7,5,17.9,8330000,,79,2025,https://www.transfermarkt.co.uk/oman/startseite/verein/14165
14233,Brunei Darussalam,brunei-darussalam,27,Brunei Darussalam,BSL1,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/14233.png?lm=1626535270,23,28.5,0,,800000,,194,2025,https://www.transfermarkt.co.uk/brunei-darussalam/startseite/verein/14233
15033,Bangladesh,bangladesh,16,Bangladesh,BGD1,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/15033.png?lm=1729502187,23,26.4,5,21.7,7250000,,181,2025,https://www.transfermarkt.co.uk/bangladesh/startseite/verein/15033
15232,Dominican Republic,dominican-republic,43,Dominican Republic,DO1P,CONCACAF,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/15232.png?lm=1746727770,25,25.5,19,76.0,12830000,,144,2025,https://www.transfermarkt.co.uk/dominican-republic/startseite/verein/15232
15234,Philippines,philippines,134,Philippines,PFL1,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/15234.png?lm=1660726714,22,26.4,18,81.8,3330000,,135,2025,https://www.transfermarkt.co.uk/philippines/startseite/verein/15234
15351,Nicaragua,nicaragua,121,Nicaragua,NC1A,CONCACAF,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/15351.png?lm=1668596448,22,25.7,6,27.3,3780000,,131,2025,https://www.transfermarkt.co.uk/nicaragua/startseite/verein/15351
15357,Singapore,singapore,153,Singapore,SIN1,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/15357.png?lm=1707228987,28,28.2,8,28.6,4580000,,148,2025,https://www.transfermarkt.co.uk/singapore/startseite/verein/15357
15358,Sri Lanka,sri-lanka,158,Sri Lanka,SRL1,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/15358.png?lm=1747427041,23,27.2,18,78.3,860000,,187,2025,https://www.transfermarkt.co.uk/sri-lanka/startseite/verein/15358
15363,Chinese Taipei,chinese-taipei,164,Chinese Taipei,TFPL,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/15363.png?lm=1744111177,23,26.4,8,34.8,2010000,,174,2025,https://www.transfermarkt.co.uk/chinese-taipei/startseite/verein/15363
15456,Maldives,maldives,104,Maldives,MLD1,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/15456.png?lm=1780706650,22,29.4,0,,675000,,173,2025,https://www.transfermarkt.co.uk/maldives/startseite/verein/15456
15737,Jordan,jordan,78,Jordan,JO1L,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/15737.png?lm=1781026027,26,28.5,14,53.8,20299999,,63,2025,https://www.transfermarkt.co.uk/jordan/startseite/verein/15737
15738,Malaysia,malaysia,103,Malaysia,MYS1,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/15738.png?lm=1697383198,28,28.7,4,14.3,7600000,,136,2025,https://www.transfermarkt.co.uk/malaysia/startseite/verein/15738
15919,Belize,belize,20,Belize,BZ1A,CONCACAF,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/15919.png?lm=1759842689,24,27.0,5,20.8,350000,,180,2025,https://www.transfermarkt.co.uk/belize/startseite/verein/15919
15920,Bhutan,bhutan,22,Bhutan,BH1L,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/15920.png?lm=1747144948,23,24.6,1,4.3,840000,,192,2025,https://www.transfermarkt.co.uk/bhutan/startseite/verein/15920
15977,Hongkong,hong-kong,218,Hongkong,HGKG,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/15977.png?lm=1680626419,22,27.1,11,50.0,3380000,,156,2025,https://www.transfermarkt.co.uk/hong-kong/startseite/verein/15977
